_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,C2216702,M1,1,0,DisGeNET,35,malignant neoplasm of breast staging,,-5.6,1.1e+02,18,28133,49,16,3,19,9.8,5175|6352|6362,PECAM1|CCL5|CCL18,-2.2,0
1,-5.5,C0022408,M1,1,0,DisGeNET,35,Arthropathy,,-5.5,38,12,28133,187,16,4,25,11,116|6362|7432|9370,ADCYAP1|CCL18|VIP|ADIPOQ,-2.2,0
1,-5.4,C0341439,M1,1,0,DisGeNET,35,Chronic liver disease,,-5.4,36,12,28133,196,16,4,25,11,4360|6352|8771|9370,MRC1|CCL5|TNFRSF6B|ADIPOQ,-2.1,0
1,-5.4,C0220756,M1,1,0,DisGeNET,35,"Niemann-Pick Disease, Type C",,-5.4,35,12,28133,201,16,4,25,11,2208|6352|6362|7432,FCER2|CCL5|CCL18|VIP,-2.1,0
1,-5.3,C0333983,M1,1,0,DisGeNET,35,Hyperplastic Polyp,,-5.3,34,11,28133,204,16,4,25,11,4360|5175|6352|9370,MRC1|PECAM1|CCL5|ADIPOQ,-2.1,0
1,-5.2,C1840264,M1,1,0,DisGeNET,35,IMMUNE SUPPRESSION,,-5.2,32,11,28133,222,16,4,25,11,4360|8771|9370|100133941,MRC1|TNFRSF6B|ADIPOQ|CD24,-2,0
1,-5.1,C0867389,M1,1,0,DisGeNET,35,Chronic graft-versus-host disease,,-5.1,29,10,28133,241,16,4,25,11,5175|6352|6359|9370,PECAM1|CCL5|CCL15|ADIPOQ,-1.8,0
1,-5,C1333177,M1,1,0,DisGeNET,35,Lymphoproliferative Disorder of the Skin,,-5,70,14,28133,75,16,3,19,9.8,4360|6352|9370,MRC1|CCL5|ADIPOQ,-1.8,0
1,-4.9,C1536220,M1,1,0,DisGeNET,35,ST segment elevation myocardial infarction,,-4.9,27,10,28133,264,16,4,25,11,6352|7432|9370|10418,CCL5|VIP|ADIPOQ|SPON1,-1.7,0
1,-4.9,C1262091,M1,1,0,DisGeNET,35,Lymphocytic infiltration,,-4.9,63,14,28133,84,16,3,19,9.8,4360|6352|6362,MRC1|CCL5|CCL18,-1.7,0
1,-4.8,C0747845,M1,1,0,DisGeNET,35,early pregnancy,,-4.8,26,9.8,28133,273,16,4,25,11,5175|6352|6358|9370,PECAM1|CCL5|CCL14|ADIPOQ,-1.7,0
1,-4.8,C3662483,M1,1,0,DisGeNET,35,Allergic sensitization,,-4.8,62,13,28133,85,16,3,19,9.8,2208|6352|7432,FCER2|CCL5|VIP,-1.7,0
1,-4.8,C0264714,M1,1,0,DisGeNET,35,Acute heart failure,,-4.8,59,13,28133,89,16,3,19,9.8,5179|6352|9370,PENK|CCL5|ADIPOQ,-1.7,0
1,-4.8,C0037274,M1,1,0,DisGeNET,35,Dermatologic disorders,,-4.8,14,7.9,28133,616,16,5,31,12,116|5175|6352|6362|7432,ADCYAP1|PECAM1|CCL5|CCL18|VIP,-1.7,0
1,-4.7,C0035126,M1,1,0,DisGeNET,35,Reperfusion Injury,,-4.7,23,9.3,28133,300,16,4,25,11,116|5175|6352|9370,ADCYAP1|PECAM1|CCL5|ADIPOQ,-1.6,0
1,-4.7,C0011884,M1,1,0,DisGeNET,35,Diabetic Retinopathy,,-4.7,14,7.7,28133,644,16,5,31,12,116|5175|6359|7432|9370,ADCYAP1|PECAM1|CCL15|VIP|ADIPOQ,-1.6,0
1,-4.7,C0019348,M1,1,0,DisGeNET,35,Herpes Simplex Infections,,-4.7,14,7.7,28133,645,16,5,31,12,4360|5175|5179|6352|8771,MRC1|PECAM1|PENK|CCL5|TNFRSF6B,-1.6,0
1,-4.6,C0206062,M1,1,0,DisGeNET,35,"Lung Diseases, Interstitial",,-4.6,22,9,28133,319,16,4,25,11,2208|4360|6352|6362,FCER2|MRC1|CCL5|CCL18,-1.6,0
1,-4.5,C0085129,M1,1,0,DisGeNET,35,Bronchial Hyperreactivity,,-4.5,47,12,28133,112,16,3,19,9.8,2208|6352|7432,FCER2|CCL5|VIP,-1.5,0
1,-4.4,C0031511,M1,1,0,DisGeNET,35,Pheochromocytoma,,-4.4,20,8.7,28133,344,16,4,25,11,116|5179|7432|9370,ADCYAP1|PENK|VIP|ADIPOQ,-1.5,0
1,-4.4,C0220641,M1,1,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-4.4,12,7.2,28133,734,16,5,31,12,4360|5179|6352|6362|7432,MRC1|PENK|CCL5|CCL18|VIP,-1.4,0
1,-4.3,C0409959,M1,1,0,DisGeNET,35,"Osteoarthritis, Knee",,-4.3,19,8.3,28133,368,16,4,25,11,116|5179|7432|9370,ADCYAP1|PENK|VIP|ADIPOQ,-1.4,0
1,-4.3,C4554344,M1,1,0,DisGeNET,35,IgE-mediated food allergy,,-4.3,42,11,28133,126,16,3,19,9.8,2208|7432|9370,FCER2|VIP|ADIPOQ,-1.4,0
1,-4.3,C0026691,M1,1,0,DisGeNET,35,Mucocutaneous Lymph Node Syndrome,,-4.3,19,8.3,28133,370,16,4,25,11,2208|5175|6352|100133941,FCER2|PECAM1|CCL5|CD24,-1.4,0
1,-4.3,C0242422,M1,1,0,DisGeNET,35,Parkinsonian Disorders,,-4.3,19,8.3,28133,373,16,4,25,11,116|5179|6352|7432,ADCYAP1|PENK|CCL5|VIP,-1.4,0
1,-4.3,C1569637,M1,1,0,DisGeNET,35,"Adenocarcinoma, Endometrioid",,-4.3,41,11,28133,130,16,3,19,9.8,4360|9370|100133941,MRC1|ADIPOQ|CD24,-1.4,0
1,-4.3,C3875321,M1,1,0,DisGeNET,35,Inflammatory dermatosis,,-4.3,18,8.2,28133,382,16,4,25,11,4360|5175|6352|9370,MRC1|PECAM1|CCL5|ADIPOQ,-1.4,0
1,-4.3,C0149678,M1,1,0,DisGeNET,35,Epstein-Barr Virus Infections,,-4.3,18,8.2,28133,384,16,4,25,11,2208|4360|6352|100133941,FCER2|MRC1|CCL5|CD24,-1.4,0
1,-4.3,C0677932,M1,1,0,DisGeNET,35,Progressive Neoplastic Disease,,-4.3,18,8.2,28133,384,16,4,25,11,4360|5175|6352|6362,MRC1|PECAM1|CCL5|CCL18,-1.4,0
1,-4.3,C3539781,M1,1,0,DisGeNET,35,Progressive cGVHD,,-4.3,18,8.2,28133,384,16,4,25,11,4360|5175|6352|6362,MRC1|PECAM1|CCL5|CCL18,-1.4,0
1,-4.3,C0746102,M1,1,0,DisGeNET,35,Chronic lung disease,,-4.3,40,11,28133,133,16,3,19,9.8,4360|6352|9370,MRC1|CCL5|ADIPOQ,-1.4,0
1,-4.2,C0037221,M1,1,0,DisGeNET,35,Situs Inversus,,-4.2,38,10,28133,138,16,3,19,9.8,4360|6352|100133941,MRC1|CCL5|CD24,-1.4,0
1,-4.2,C0376618,M1,1,0,DisGeNET,35,Endotoxemia,,-4.2,18,8,28133,401,16,4,25,11,5175|6352|7432|9370,PECAM1|CCL5|VIP|ADIPOQ,-1.3,0
1,-4.2,C0151517,M1,1,0,DisGeNET,35,Complete atrioventricular block,,-4.2,17,7.9,28133,403,16,4,25,11,116|6352|8771|9370,ADCYAP1|CCL5|TNFRSF6B|ADIPOQ,-1.3,0
1,-4.2,C0014173,M1,1,0,DisGeNET,35,Endometrial Hyperplasia,,-4.2,37,10,28133,143,16,3,19,9.8,4360|9370|100133941,MRC1|ADIPOQ|CD24,-1.3,0
1,-4.2,C0340288,M1,1,0,DisGeNET,35,Stable angina,,-4.2,37,10,28133,144,16,3,19,9.8,5175|6352|7432,PECAM1|CCL5|VIP,-1.3,0
1,-4.1,C0524910,M1,1,0,DisGeNET,35,"Hepatitis C, Chronic",,-4.1,16,7.7,28133,430,16,4,25,11,6352|6362|9370|100133941,CCL5|CCL18|ADIPOQ|CD24,-1.3,0
1,-4,C0085580,M1,1,0,DisGeNET,35,Essential Hypertension,,-4,16,7.5,28133,445,16,4,25,11,116|5175|7432|9370,ADCYAP1|PECAM1|VIP|ADIPOQ,-1.2,0
1,-4,C0003872,M1,1,0,DisGeNET,35,"Arthritis, Psoriatic",,-4,16,7.5,28133,450,16,4,25,11,5175|6352|9370|100133941,PECAM1|CCL5|ADIPOQ|CD24,-1.2,0
1,-4,C0020429,M1,1,0,DisGeNET,35,Hyperalgesia,,-4,16,7.5,28133,451,16,4,25,11,116|5179|6352|7432,ADCYAP1|PENK|CCL5|VIP,-1.2,0
1,-4,C0021053,M1,1,0,DisGeNET,35,Immune System Diseases,,-4,16,7.5,28133,451,16,4,25,11,5175|6352|7432|9370,PECAM1|CCL5|VIP|ADIPOQ,-1.2,0
1,-4,C0017661,M1,1,0,DisGeNET,35,IGA Glomerulonephritis,,-4,15,7.4,28133,456,16,4,25,11,6352|7432|8771|9370,CCL5|VIP|TNFRSF6B|ADIPOQ,-1.2,0
1,-4,C0032914,M1,1,0,DisGeNET,35,Pre-Eclampsia,,-4,32,9.5,28133,166,16,3,19,9.8,6352|9370|100133941,CCL5|ADIPOQ|CD24,-1.2,0
1,-3.9,C1527336,M1,1,0,DisGeNET,35,Sjogren's Syndrome,,-3.9,15,7.2,28133,481,16,4,25,11,6352|6362|7432|9370,CCL5|CCL18|VIP|ADIPOQ,-1.1,0
1,-3.9,C2717836,M1,1,0,DisGeNET,35,Steroid Sulfatase Deficiency Disease,,-3.9,29,9.1,28133,181,16,3,19,9.8,4360|5175|7432,MRC1|PECAM1|VIP,-1.1,0
1,-3.9,C4551584,M1,1,0,DisGeNET,35,Brain atrophy,,-3.9,29,9,28133,182,16,3,19,9.8,7432|9370|10418,VIP|ADIPOQ|SPON1,-1.1,0
1,-3.8,C0011603,M1,1,0,DisGeNET,35,Dermatitis,,-3.8,14,7.1,28133,496,16,4,25,11,4360|5175|6352|9370,MRC1|PECAM1|CCL5|ADIPOQ,-1.1,0
1,-3.8,C1301034,M1,1,0,DisGeNET,35,Pancreatic intraepithelial neoplasia,,-3.8,28,8.9,28133,186,16,3,19,9.8,4360|5175|5179,MRC1|PECAM1|PENK,-1.1,0
1,-3.8,C0004943,M1,1,0,DisGeNET,35,Behcet Syndrome,,-3.8,14,7,28133,502,16,4,25,11,4360|6352|7432|9370,MRC1|CCL5|VIP|ADIPOQ,-1.1,0
1,-3.8,C0024143,M1,1,0,DisGeNET,35,Lupus Nephritis,,-3.8,14,7,28133,503,16,4,25,11,5175|6352|7432|9370,PECAM1|CCL5|VIP|ADIPOQ,-1.1,0
1,-3.7,C0079588,M1,1,0,DisGeNET,35,"Ichthyosis, X-Linked",,-3.7,27,8.6,28133,199,16,3,19,9.8,4360|5175|7432,MRC1|PECAM1|VIP,-1,0
1,-3.7,C1658953,M1,1,0,DisGeNET,35,tumor vasculature,,-3.7,26,8.6,28133,200,16,3,19,9.8,4360|5175|6352,MRC1|PECAM1|CCL5,-1,0
1,-3.7,C0751967,M1,1,0,DisGeNET,35,"Multiple Sclerosis, Relapsing-Remitting",,-3.7,26,8.5,28133,206,16,3,19,9.8,5175|6352|100133941,PECAM1|CCL5|CD24,-1,0
1,-3.7,C0150055,M1,1,0,DisGeNET,35,Chronic pain,,-3.7,25,8.4,28133,207,16,3,19,9.8,116|5179|7432,ADCYAP1|PENK|VIP,-1,0
1,-3.7,C0270824,M1,1,0,DisGeNET,35,Visual seizure,,-3.7,25,8.4,28133,209,16,3,19,9.8,116|6352|7432,ADCYAP1|CCL5|VIP,-1,0
1,-3.7,C1845050,M1,1,0,DisGeNET,35,"PIGMENTARY DISORDER, RETICULATE, WITH SYSTEMIC MANIFESTATIONS",,-3.7,25,8.4,28133,209,16,3,19,9.8,5175|6359|9370,PECAM1|CCL15|ADIPOQ,-1,0
1,-3.7,C0024138,M1,1,0,DisGeNET,35,"Lupus Erythematosus, Discoid",,-3.7,13,6.6,28133,552,16,4,25,11,4360|5175|6358|7432,MRC1|PECAM1|CCL14|VIP,-0.99,0
1,-3.6,C0037284,M1,1,0,DisGeNET,35,Skin lesion,,-3.6,12,6.6,28133,563,16,4,25,11,4360|6352|6362|8771,MRC1|CCL5|CCL18|TNFRSF6B,-0.97,0
1,-3.6,C1861453,M1,1,0,DisGeNET,35,Pseudohyperkalemia Cardiff,,-3.6,24,8.2,28133,218,16,3,19,9.8,5175|9370|100133941,PECAM1|ADIPOQ|CD24,-0.97,0
1,-3.6,C0042029,M1,1,0,DisGeNET,35,Urinary tract infection,,-3.6,24,8.2,28133,219,16,3,19,9.8,5175|6352|6362,PECAM1|CCL5|CCL18,-0.97,0
1,-3.6,C0206687,M1,1,0,DisGeNET,35,"Carcinoma, Endometrioid",,-3.6,24,8.1,28133,223,16,3,19,9.8,4360|9370|100133941,MRC1|ADIPOQ|CD24,-0.96,0
1,-3.6,C0001973,M1,1,0,DisGeNET,35,"Alcoholic Intoxication, Chronic",,-3.6,12,6.5,28133,577,16,4,25,11,116|5175|5179|9370,ADCYAP1|PECAM1|PENK|ADIPOQ,-0.95,0
1,-3.5,C0032580,M1,1,0,DisGeNET,35,Adenomatous Polyposis Coli,,-3.5,12,6.3,28133,609,16,4,25,11,4360|5175|7432|100133941,MRC1|PECAM1|VIP|CD24,-0.87,0
1,-3.5,C0001175,M1,1,0,DisGeNET,35,Acquired Immunodeficiency Syndrome,,-3.5,22,7.7,28133,243,16,3,19,9.8,6352|6362|100133941,CCL5|CCL18|CD24,-0.86,0
1,-3.5,C3160718,M1,1,0,DisGeNET,35,"PARKINSON DISEASE, LATE-ONSET",,-3.5,21,7.7,28133,247,16,3,19,9.8,5175|5179|9370,PECAM1|PENK|ADIPOQ,-0.85,0
1,-3.5,C0007138,M1,1,0,DisGeNET,35,"Carcinoma, Transitional Cell",,-3.5,11,6.2,28133,623,16,4,25,11,4360|5175|6362|100133941,MRC1|PECAM1|CCL18|CD24,-0.85,0
1,-3.4,C4703473,M1,1,0,DisGeNET,35,Atherosclerotic lesion,,-3.4,21,7.6,28133,253,16,3,19,9.8,5175|6352|9370,PECAM1|CCL5|ADIPOQ,-0.83,0
1,-3.4,C4551687,M1,1,0,DisGeNET,35,Sarcoma of soft tissue,,-3.4,20,7.5,28133,258,16,3,19,9.8,4360|5175|7432,MRC1|PECAM1|VIP,-0.81,0
1,-3.4,C0153690,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of bone,,-3.4,11,6.1,28133,647,16,4,25,11,5175|5179|8771|100133941,PECAM1|PENK|TNFRSF6B|CD24,-0.8,0
1,-3.4,C0085207,M1,1,0,DisGeNET,35,Gestational Diabetes,,-3.4,11,6,28133,649,16,4,25,11,116|5175|7432|9370,ADCYAP1|PECAM1|VIP|ADIPOQ,-0.8,0
1,-3.4,C0940937,M1,1,0,DisGeNET,35,precancerous lesions,,-3.4,20,7.3,28133,270,16,3,19,9.8,4360|5175|6362,MRC1|PECAM1|CCL18,-0.77,0
1,-3.3,C2316810,M1,1,0,DisGeNET,35,Chronic kidney disease stage 5,,-3.3,11,6,28133,666,16,4,25,11,6352|6358|9370|100133941,CCL5|CCL14|ADIPOQ|CD24,-0.77,0
1,-3.3,C0017152,M1,1,0,DisGeNET,35,Gastritis,,-3.3,18,7,28133,292,16,3,19,9.8,2208|6352|9370,FCER2|CCL5|ADIPOQ,-0.68,0
1,-3.2,C0334634,M1,1,0,DisGeNET,35,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",,-3.2,18,6.9,28133,296,16,3,19,9.8,2208|4360|5175,FCER2|MRC1|PECAM1,-0.67,0
1,-3.2,C0856169,M1,1,0,DisGeNET,35,Endothelial dysfunction,,-3.2,9.8,5.7,28133,716,16,4,25,11,116|5175|6352|9370,ADCYAP1|PECAM1|CCL5|ADIPOQ,-0.66,0
1,-3.2,C0024314,M1,1,0,DisGeNET,35,Lymphoproliferative Disorders,,-3.2,18,6.9,28133,300,16,3,19,9.8,2208|4360|5175,FCER2|MRC1|PECAM1,-0.66,0
1,-3.2,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-3.2,9.7,5.7,28133,724,16,4,25,11,4360|5175|6352|8771,MRC1|PECAM1|CCL5|TNFRSF6B,-0.66,0
1,-3.2,C0264408,M1,1,0,DisGeNET,35,Childhood asthma,,-3.2,17,6.9,28133,303,16,3,19,9.8,2208|6352|9370,FCER2|CCL5|ADIPOQ,-0.66,0
1,-3.2,C0595921,M1,1,0,DisGeNET,35,Intraocular pressure disorder,,-3.2,17,6.9,28133,303,16,3,19,9.8,116|5175|7432,ADCYAP1|PECAM1|VIP,-0.66,0
1,-3.2,C0947751,M1,1,0,DisGeNET,35,Vascular inflammations,,-3.2,17,6.8,28133,305,16,3,19,9.8,5175|7432|9370,PECAM1|VIP|ADIPOQ,-0.66,0
1,-3.2,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-3.2,9.6,5.6,28133,735,16,4,25,11,4360|5175|6352|100133941,MRC1|PECAM1|CCL5|CD24,-0.65,0
1,-3.1,C0005940,M1,1,0,DisGeNET,35,Bone Diseases,,-3.1,17,6.7,28133,317,16,3,19,9.8,6352|8771|9370,CCL5|TNFRSF6B|ADIPOQ,-0.62,0
1,-3.1,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-3.1,9.3,5.5,28133,756,16,4,25,11,4360|5175|5179|9370,MRC1|PECAM1|PENK|ADIPOQ,-0.61,0
1,-3.1,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-3.1,9.2,5.5,28133,764,16,4,25,11,4360|7432|9370|100133941,MRC1|VIP|ADIPOQ|CD24,-0.61,0
1,-3.1,C0014038,M1,1,0,DisGeNET,35,Encephalitis,,-3.1,16,6.6,28133,324,16,3,19,9.8,2208|4360|9370,FCER2|MRC1|ADIPOQ,-0.61,0
1,-3.1,C0155626,M1,1,0,DisGeNET,35,Acute myocardial infarction,,-3.1,9.2,5.5,28133,766,16,4,25,11,5175|6352|7432|9370,PECAM1|CCL5|VIP|ADIPOQ,-0.61,0
1,-3.1,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-3.1,9.1,5.5,28133,770,16,4,25,11,116|4360|6352|9370,ADCYAP1|MRC1|CCL5|ADIPOQ,-0.6,0
1,-3.1,C1449563,M1,1,0,DisGeNET,35,"Cardiomyopathy, Familial Idiopathic",,-3.1,9.1,5.4,28133,773,16,4,25,11,4360|5175|8771|9370,MRC1|PECAM1|TNFRSF6B|ADIPOQ,-0.6,0
1,-3.1,C0677607,M1,1,0,DisGeNET,35,Hashimoto Disease,,-3.1,16,6.5,28133,335,16,3,19,9.8,6352|7432|100133941,CCL5|VIP|CD24,-0.58,0
1,-3.1,C0026896,M1,1,0,DisGeNET,35,Myasthenia Gravis,,-3.1,16,6.5,28133,336,16,3,19,9.8,116|6352|7432,ADCYAP1|CCL5|VIP,-0.58,0
1,-3.1,C0004936,M1,1,0,DisGeNET,35,Mental disorders,,-3.1,8.9,5.4,28133,789,16,4,25,11,116|5179|7432|9370,ADCYAP1|PENK|VIP|ADIPOQ,-0.58,0
1,-3,C0333516,M1,1,0,DisGeNET,35,Tumor necrosis,,-3,15,6.3,28133,350,16,3,19,9.8,4360|5175|6352,MRC1|PECAM1|CCL5,-0.54,0
1,-3,C0041327,M1,1,0,DisGeNET,35,"Tuberculosis, Pulmonary",,-3,15,6.2,28133,358,16,3,19,9.8,4360|6352|9370,MRC1|CCL5|ADIPOQ,-0.51,0
1,-3,C0086692,M1,1,0,DisGeNET,35,Benign Neoplasm,,-3,14,6.1,28133,371,16,3,19,9.8,6362|8771|100133941,CCL18|TNFRSF6B|CD24,-0.47,0
1,-2.9,C0035078,M1,1,0,DisGeNET,35,Kidney Failure,,-2.9,14,6,28133,378,16,3,19,9.8,116|6352|9370,ADCYAP1|CCL5|ADIPOQ,-0.45,0
1,-2.9,C0149521,M1,1,0,DisGeNET,35,"Pancreatitis, Chronic",,-2.9,14,6,28133,379,16,3,19,9.8,116|9370|100133941,ADCYAP1|ADIPOQ|CD24,-0.45,0
1,-2.9,C0008479,M1,1,0,DisGeNET,35,Chondrosarcoma,,-2.9,14,6,28133,385,16,3,19,9.8,6352|9370|100133941,CCL5|ADIPOQ|CD24,-0.44,0
1,-2.9,C0220597,M1,1,0,DisGeNET,35,Adult Hodgkin Lymphoma,,-2.9,13,5.9,28133,399,16,3,19,9.8,2208|4360|6352,FCER2|MRC1|CCL5,-0.4,0
1,-2.9,C0220644,M1,1,0,DisGeNET,35,Childhood Hodgkin Lymphoma,,-2.9,13,5.9,28133,399,16,3,19,9.8,2208|4360|6352,FCER2|MRC1|CCL5,-0.4,0
1,-2.8,C0742343,M1,1,0,DisGeNET,35,Acute Chest Syndrome,,-2.8,13,5.8,28133,405,16,3,19,9.8,5175|6352|9370,PECAM1|CCL5|ADIPOQ,-0.39,0
1,-2.8,C2973725,M1,1,0,DisGeNET,35,Pulmonary arterial hypertension,,-2.8,13,5.7,28133,413,16,3,19,9.8,6352|7432|9370,CCL5|VIP|ADIPOQ,-0.37,0
1,-2.8,C0038436,M1,1,0,DisGeNET,35,Post-Traumatic Stress Disorder,,-2.8,13,5.7,28133,417,16,3,19,9.8,116|7432|9370,ADCYAP1|VIP|ADIPOQ,-0.36,0
1,-2.8,C0345967,M1,1,0,DisGeNET,35,Malignant mesothelioma,,-2.8,13,5.7,28133,420,16,3,19,9.8,6352|9370|100133941,CCL5|ADIPOQ|CD24,-0.35,0
1,-2.8,C0006287,M1,1,0,DisGeNET,35,Bronchopulmonary Dysplasia,,-2.8,12,5.7,28133,423,16,3,19,9.8,116|5175|6362,ADCYAP1|PECAM1|CCL18,-0.35,0
1,-2.8,C0343641,M1,1,0,DisGeNET,35,Human papilloma virus infection,,-2.8,12,5.6,28133,428,16,3,19,9.8,4360|5175|6352,MRC1|PECAM1|CCL5,-0.34,0
1,-2.8,C0002895,M1,1,0,DisGeNET,35,"Anemia, Sickle Cell",,-2.8,12,5.6,28133,433,16,3,19,9.8,6352|8771|100133941,CCL5|TNFRSF6B|CD24,-0.33,0
1,-2.8,C0001339,M1,1,0,DisGeNET,35,Acute pancreatitis,,-2.8,12,5.6,28133,435,16,3,19,9.8,7432|9370|100133941,VIP|ADIPOQ|CD24,-0.32,0
1,-2.7,C3811653,M1,1,0,DisGeNET,35,Experimental Organism Basal Cell Carcinoma,,-2.7,12,5.6,28133,437,16,3,19,9.8,4360|6352|100133941,MRC1|CCL5|CD24,-0.32,0
1,-2.7,C2607914,M1,1,0,DisGeNET,35,Allergic rhinitis (disorder),,-2.7,12,5.5,28133,446,16,3,19,9.8,6352|7432|9370,CCL5|VIP|ADIPOQ,-0.3,0
1,-2.7,C2145472,M1,1,0,DisGeNET,35,Urothelial Carcinoma,,-2.7,12,5.5,28133,449,16,3,19,9.8,5175|6362|100133941,PECAM1|CCL18|CD24,-0.3,0
1,-2.7,C0019159,M1,1,0,DisGeNET,35,Hepatitis A,,-2.7,12,5.5,28133,451,16,3,19,9.8,4360|9370|100133941,MRC1|ADIPOQ|CD24,-0.29,0
1,-2.7,C0235946,M1,1,0,DisGeNET,35,Cerebral atrophy,,-2.7,12,5.4,28133,454,16,3,19,9.8,7432|9370|10418,VIP|ADIPOQ|SPON1,-0.29,0
1,-2.7,C4721414,M1,1,0,DisGeNET,35,Mantle cell lymphoma,,-2.7,11,5.4,28133,466,16,3,19,9.8,2208|4360|5175,FCER2|MRC1|PECAM1,-0.27,0
1,-2.7,C0375023,M1,1,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-2.7,11,5.4,28133,467,16,3,19,9.8,5175|6352|7432,PECAM1|CCL5|VIP,-0.27,0
1,-2.7,C0279628,M1,1,0,DisGeNET,35,Adenocarcinoma Of Esophagus,,-2.7,11,5.3,28133,468,16,3,19,9.8,6352|9370|100133941,CCL5|ADIPOQ|CD24,-0.27,0
1,-2.7,C0032927,M1,1,0,DisGeNET,35,Precancerous Conditions,,-2.7,11,5.3,28133,471,16,3,19,9.8,4360|6362|100133941,MRC1|CCL18|CD24,-0.26,0
1,-2.6,C0520679,M1,1,0,DisGeNET,35,"Sleep Apnea, Obstructive",,-2.6,11,5.3,28133,480,16,3,19,9.8,116|7432|9370,ADCYAP1|VIP|ADIPOQ,-0.24,0
