_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-11,R-HSA-420597,Nectin/Necl  trans heterodimerization,M1,1,0
1,-4.5,GO:0019935,cyclic-nucleotide-mediated signaling,M1,1,0
1,-5.5,GO:0001944,vasculature development,M1,1,0
1,-4.1,GO:1990869,cellular response to chemokine,M1,1,0
1,-4.2,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",M1,1,0
1,-10,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-2.3,GO:0052548,regulation of endopeptidase activity,M1,1,0
1,-2.1,GO:0042119,neutrophil activation,M1,1,0
1,-4.5,GO:0008285,negative regulation of cell proliferation,M1,1,0
1,-2.5,GO:0006898,receptor-mediated endocytosis,M1,1,0
