lr_pair,pval_CA,median_day_high_CA,median_day_low_CA,diff_day_CA
PLAU->LRP2,0.013597508,389,630,-241
COL9A1->MAG,0.013623797,608,418.5,189.5
BDNF->SORT1,0.014043376,633,381,252
CEL->CXCR4,0.01405796,633,437,196
FGA->ITGA5,0.014100033,446,627.5,-181.5
SOSTDC1->LRP5,0.014291366,610.5,444,166.5
HAS2->HMMR,0.014339297,437,600,-163
HMGB1->SDC1,0.014393402,422,627,-205
THBS1->ITGB1,0.014473899,446,632,-186
TGM2->ITGB1,0.014481097,456,658,-202
F2->F2RL2,0.014540855,608,437,171
SEMA3A->NRP2,0.014543382,455,629.5,-174.5
FGF16->FGFR3,0.014667493,631,450.5,180.5
FGF17->FGFR3,0.014667493,631,450.5,180.5
FGF23->FGFR3,0.014667493,631,450.5,180.5
FGF3->FGFR3,0.014667493,631,450.5,180.5
FGF4->FGFR3,0.014667493,631,450.5,180.5
FGF5->FGFR3,0.014667493,631,450.5,180.5
FGF6->FGFR3,0.014667493,631,450.5,180.5
NGF->SORT1,0.014698003,633,381,252
FGF8->FGFR3,0.014980168,628,455.5,172.5
LGALS3BP->ITGB1,0.015400572,446,627.5,-181.5
SEMA3A->NRP1,0.015482032,446,642,-196
OXT->OXTR,0.015534488,446,663,-217
CLCF1->CRLF1,0.015560893,437,709.5,-272.5
SEMA3A->PLXNA1,0.015775626,455,616.5,-161.5
SIRPB2->CD47,0.016182686,400,626.5,-226.5
ADM->CALCR,0.016272624,437,627.5,-190.5
DKK1->KREMEN2,0.016334827,455,658,-203
NCR3LG1->NCR3,0.016615322,633,459.5,173.5
IL1B->IL1RAP,0.016673665,446,616.5,-170.5
LRPAP1->LRP1,0.01679102,631,456,175
SERPINE2->LRP1,0.016838937,592,456,136
AGRP->MC4R,0.017264975,573,459.5,113.5
DSC3->DSG1,0.017497184,456,642,-186
DSG1->DSC3,0.017497184,456,642,-186
IHH->PTCH1,0.017581772,631,445,186
WNT1->FZD8,0.017716616,608,413,195
WNT3A->FZD8,0.017716616,608,413,195
GHRL->MLNR,0.017755558,579,459,120
SDC2->PTPRJ,0.01871662,616.5,444,172.5
EFNB2->EPHB2,0.018979482,456,607.5,-151.5
MMP13->LRP1,0.019125032,592,459.5,132.5
C1QB->LRP1,0.01920029,592,459.5,132.5
FGF10->FGFR2,0.019472036,633,437,196
FGF16->FGFR2,0.019472036,633,437,196
FGF17->FGFR2,0.019472036,633,437,196
FGF18->FGFR2,0.019472036,633,437,196
FGF22->FGFR2,0.019472036,633,437,196
FGF23->FGFR2,0.019472036,633,437,196
FGF3->FGFR2,0.019472036,633,437,196
FGF4->FGFR2,0.019472036,633,437,196
FGF5->FGFR2,0.019472036,633,437,196
FGF6->FGFR2,0.019472036,633,437,196
FGF7->FGFR2,0.019472036,633,437,196
FGF8->FGFR2,0.019472036,633,437,196
FGF9->FGFR2,0.019472036,633,437,196
PF4->FGFR2,0.019472036,633,437,196
RLN2->RXFP1,0.019482437,437,616.5,-179.5
DKK1->KREMEN1,0.019839771,456,617.5,-161.5
ALKAL2->LTK,0.019987115,592,471.5,120.5
SEMA6A->PLXNA4,0.020386742,627,440.5,186.5
DEFB1->CCR6,0.020879253,446,600,-154
EFNA2->EPHA3,0.021583661,592,455.5,136.5
FGG->ITGA5,0.021603488,446,626,-180
NRTN->GFRA1,0.022113958,608.5,437,171.5
THBS1->ITGA6,0.022366742,455,581,-126
PROC->TEK,0.022659802,539,512.5,26.5
CCN2->IGF2R,0.023423208,625,455.5,169.5
LAMA1->ITGA2,0.023475898,400,642,-242
FGF1->FGFR3,0.023565208,627,455.5,171.5
SHH->GAS1,0.023572767,628,459,169
ADM->MRGPRX2,0.023634003,437,626,-189
AREG->EGFR,0.023747644,455,616.5,-161.5
CD96->NECTIN1,0.024203768,503,584.5,-81.5
NECTIN1->CD96,0.024203768,503,584.5,-81.5
ANGPT1->ITGA5,0.024383502,446,608.5,-162.5
RGMA->NEO1,0.024452712,631,437,194
FGF20->FGFR3,0.024647736,628,455.5,172.5
FGF2->FGFR3,0.024809198,628,450.5,177.5
F8->LRP1,0.024858981,592,459.5,132.5
F9->LRP1,0.024858981,592,459.5,132.5
FCN2->LRP1,0.024858981,592,459.5,132.5
SERPINC1->LRP1,0.024858981,592,459.5,132.5
WNT3A->LRP1,0.024858981,592,459.5,132.5
THBS1->SDC1,0.024913568,437,626,-189
LPL->LRP1,0.025132859,592,459.5,132.5
WNT5A->LRP5,0.025283107,599,444,155
PODXL->SELL,0.025334793,446,630.5,-184.5
FGF18->FGFR3,0.025505642,627,456,171
FGF1->FGFR2,0.025667339,633,437,196
EDA->EDAR,0.026646621,592,418.5,173.5
RGMB->NEO1,0.026736108,631,440.5,190.5
CALR->LRP1,0.026902958,610.5,456,154.5
TGFB1->ITGB8,0.027009658,400,658,-258
SEMA3C->NRP1,0.027793037,437,643,-206
VEGFA->NRP1,0.028189904,379,583,-204
IL6->IL6R,0.028343383,633,437,196
IHH->BOC,0.029899636,579,459.5,119.5
ADM2->RAMP2,0.03022478,608,456,152
RSPO3->FZD8,0.03066919,597.5,444,153.5
FGB->ITGA5,0.030737993,446,608.5,-162.5
TNFSF10->TNFRSF10C,0.031265232,587,455.5,131.5
SEMA3G->NRP2,0.031311095,456,626.5,-170.5
VEGFD->NRP2,0.031311095,456,626.5,-170.5
LTF->LRP1,0.031542652,592,459.5,132.5
SLPI->PLSCR4,0.031558738,463,575.5,-112.5
VEGFC->NRP2,0.03250704,456,626.5,-170.5
POSTN->PTK7,0.032598594,446,591,-145
CXCL12->CXCR4,0.032804933,625,455.5,169.5
F2->F2RL3,0.032814189,625,445,180
ECM1->ITGB4,0.032937391,455,632,-177
DSC2->DSG3,0.032963261,455,599,-144
NTNG1->LRRC4C,0.033682124,456,629,-173
THBS1->ITGA4,0.034333878,446,643,-197
CORT->SSTR2,0.034520467,590,450,140
AGRP->SDC3,0.034981278,587,422.5,164.5
FGF7->FGFR3,0.035191734,627,455.5,171.5
ADAM15->ITGB1,0.035296431,451,575,-124
CNTN2->NRCAM,0.035313448,608,456,152
NECTIN1->NECTIN3,0.035349789,456,626,-170
PTN->SDC3,0.035522889,587,437,150
NTN1->NEO1,0.036292226,631,440.5,190.5
NTN3->NEO1,0.036292226,631,440.5,190.5
CD2->CD48,0.036341182,590,437,153
CD48->CD2,0.036341182,590,437,153
THPO->MPL,0.036949647,573,459.5,113.5
THBS1->PTPRJ,0.037248158,446,632,-186
VIP->VIPR1,0.038159859,643,455,188
ADAM7->ITGB7,0.038161404,503,584,-81
THBS1->CD36,0.038748348,446,632,-186
ADM2->RAMP3,0.038838356,653,456,197
THBS1->SDC4,0.039471343,446,629.5,-183.5
EDN3->EDNRB,0.039662225,590,422,168
NTS->SORT1,0.039763479,633,413,220
COL4A3->CD93,0.040859739,608,440.5,167.5
CCN4->ITGA5,0.04133772,455,608.5,-153.5
ADCYAP1->SCTR,0.04142759,573,463,110
CD34->SELL,0.042051046,627,437,190
ADAM23->ITGA5,0.042372772,455,608.5,-153.5
FN1->NT5E,0.042535017,456,588.5,-132.5
SPP1->ITGB5,0.042670428,444,608.5,-164.5
DSC3->DSG3,0.042767932,456,617.5,-161.5
FGF2->FGFR2,0.042816752,628,446,182
THBS2->ITGB1,0.042969546,444,626,-182
VEGFA->NRP2,0.043055982,446,583,-137
RLN3->RXFP1,0.043060225,455,616.5,-161.5
EFNA1->EPHA2,0.043414855,503,543,-40
DSC1->DSG4,0.04341635,444,627.5,-183.5
ANGPTL2->ITGA5,0.044303072,455,589.5,-134.5
ANXA1->DYSF,0.044334498,437,643,-206
ANGPT1->TEK,0.044406589,579,440.5,138.5
SHH->LRP2,0.044443623,628,450.5,177.5
COL9A3->MAG,0.044597592,628,450.5,177.5
FGA->ITGA2B,0.044695196,455,630.5,-175.5
CXCL14->CXCR4,0.045184755,608.5,467,141.5
CORT->SSTR4,0.045309159,461.5,625,-163.5
IL31->IL31RA,0.045518991,455.5,628,-172.5
FGB->ITGA2B,0.046601381,456,588.5,-132.5
LAMA2->ITGB1,0.046691394,445,607,-162
IL4->CD53,0.047067098,627,455.5,171.5
ADAM2->ITGB7,0.047413116,503,584,-81
PGF->NRP2,0.047483951,456,626.5,-170.5
NTF4->NTRK1,0.047622109,437,632,-195
PMCH->MCHR1,0.04780619,456,589.5,-133.5
FGA->ITGB3,0.048148278,446,640,-194
ICAM2->ITGB2,0.048158392,463,607,-144
TFPI->LRP1,0.048218563,590,483,107
FGF20->FGFR2,0.048324394,633,437,196
HRAS->CAV1,0.048690082,455,628,-173
RELN->LRP8,0.049751367,587,445,142
GZMB->IGF2R,0.049787724,625,459.5,165.5
AVP->AVPR2,0.049793741,631,451,180
ALCAM->NRP1,0.049970375,456,626,-170
