lr_pair,pval,median_day_low,median_day_high,diff_day
DEFB106A->CCR2,0.0031408020390955027,191,181,-10
CXCL16->CXCR6,0.003141628796545559,162.5,247,84.5
CD34->SELP,0.003178844273641346,191,179,-12
SEMA6B->PLXNA2,0.003201635008905024,202,179,-23
LAMA1->ITGA7,0.0032117110285131423,181,188,7
CSF2->CSF2RA,0.003297268086556837,181,194,13
GDF3->TDGF1,0.003437375667842968,185.5,181,-4.5
DSC3->DSG3,0.00344095406464473,203.5,181,-22.5
CCL16->CCR5,0.003474069207266006,192.5,181,-11.5
CCL4L1->CCR5,0.003474069207266006,192.5,181,-11.5
IL16->CD4,0.0035659836304200443,185.5,181,-4.5
WNT3A->FZD8,0.003636482573472044,174,188,14
ICAM3->ITGAL,0.003688403038140331,181,194,13
DHH->PTCH1,0.0040558651106400445,180,194,14
CSF2->CSF3R,0.004105775746884643,188.5,181,-7.5
PNOC->OPRL1,0.004448694249813534,184.5,183,-1.5
GHRL->MLNR,0.00464554464161171,181,217.5,36.5
APLN->APLNR,0.004870004907936654,191,181,-10
SHH->BOC,0.004876827860276989,182,194,12
NPY->NPFFR2,0.004877229183545717,187.5,183,-4.5
CSF3->CSF3R,0.0049132356887260364,194,181,-13
ANGPTL1->TEK,0.005276880516633553,182,194,12
FGF7->FGFR2,0.005323952337377813,191,181,-10
NMS->NMUR1,0.005507417639065149,199.5,161,-38.5
SELPLG->SIGLEC5,0.005526436980074156,164,202,38
DLL4->NOTCH4,0.005628614223523454,187.5,183,-4.5
CCL21->CXCR3,0.005750460959138781,182,194,12
IHH->PTCH2,0.005767337810301698,162.5,240,77.5
SEMA4B->DCBLD2,0.005879323481788212,231,181,-50
CCL21->ACKR2,0.0059101427601099266,185.5,181,-4.5
CCL21->ACKR4,0.0059101427601099266,185.5,181,-4.5
CCL21->CCR10,0.0059101427601099266,185.5,181,-4.5
NTN1->NEO1,0.005921319113206369,159,248,89
IL12B->IL23R,0.005957368177181288,181,194,13
DLL3->NOTCH1,0.0060519620393348905,184.5,183,-1.5
MUC7->SELL,0.006341264202724406,174,197,23
SHH->PTCH2,0.006406630921387935,182,194,12
CSF2->IL3RA,0.006461395947836013,181,188,7
DEFB103A->CCR6,0.006479741217012891,181,202,21
DEFB103B->CCR6,0.006479741217012891,181,202,21
DEFB4A->CCR6,0.006479741217012891,181,202,21
DEFB4B->CCR6,0.006479741217012891,181,202,21
SEMA3C->NRP1,0.006657002496848863,236,179,-57
SEMA4A->LILRB2,0.00670093905942426,185.5,181,-4.5
THPO->MPL,0.0067100749339488175,165.5,219,53.5
NXPH2->NRXN1,0.006908715894766715,181,194,13
IL3->IL3RA,0.006978105305106785,187.5,183,-4.5
CCL17->CCR8,0.007193864482339829,231,161,-70
APOE->LRP1,0.007229722494163204,159.5,219,59.5
CCL24->CCR2,0.007231338005910248,191,181,-10
GRN->SORT1,0.007254205406138414,158,202,44
HGF->MET,0.007296467019084041,160.5,239,78.5
CCL22->CCR4,0.007301337152127885,192.5,179,-13.5
RPH3A->NRXN1,0.007386689814580905,181,194,13
CFP->NCR1,0.007811424117634469,188.5,179,-9.5
CCL3L1->CCR5,0.007840655875721803,210.5,179,-31.5
NCAM1->GFRA1,0.0078754409870887,180,202,22
CCL7->CCR5,0.008368996323390276,192.5,181,-11.5
ZG16B->CXCR4,0.008434379138963388,188.5,181,-7.5
DSC3->DSG4,0.008501736237178537,247.5,164,-83.5
EDN3->EDNRB,0.008573989036163798,174,202,28
SHH->GPC5,0.008775632559003266,171.5,240,68.5
HSPG2->COL13A1,0.008775758162483105,159.5,219,59.5
MLN->MLNR,0.008851868823871789,182,188,6
CRH->CRHR2,0.009033709146969549,165.5,194,28.5
EDN2->EDNRB,0.009165757490323112,191,179,-12
SHH->LRP2,0.009182305759992349,171.5,194,22.5
NODAL->TDGF1,0.009593844972336396,171.5,202,30.5
GDNF->GFRA1,0.010009521174265568,181,202,21
PSPN->GFRA1,0.010009521174265568,181,202,21
TAC3->TACR1,0.01004888522076286,195.5,160,-35.5
ZP3->EGFR,0.010478173433792315,183.5,183,-0.5
NXPH1->NRXN1,0.01050946616868842,191,179,-12
FCER2->CR2,0.010731390768969451,182,194,12
FGF18->FGFR4,0.011005699982087669,181,216,35
PYY->NPY4R,0.011159592918353,181,197,16
WNT9B->FZD8,0.011161502760301811,187.5,183,-4.5
PSAP->CD1B,0.011361871944893354,154,219,65
PSAP->GPR37,0.011361871944893354,154,219,65
PSAP->GPR37L1,0.011361871944893354,154,219,65
EDN1->EDNRB,0.011472114067412664,181,194,13
CD34->SELE,0.011745677503233853,195.5,179,-16.5
RSPO4->LGR5,0.01179820686901345,181,194,13
TAC1->TACR1,0.011798546471988747,185.5,179,-6.5
PYY->NPY2R,0.012156145961399245,180,202,22
NLGN1->NRXN1,0.01262657062254724,191,179,-12
MFNG->NOTCH1,0.012652536271478443,181,194,13
IL10->IL10RA,0.012695952524089726,192.5,181,-11.5
IL22->IL10RA,0.012695952524089726,192.5,181,-11.5
FGF5->FGFR4,0.012787256563848493,181,216,35
FGF9->FGFR4,0.012787256563848493,181,216,35
NRTN->GFRA1,0.013276224591164731,181,194,13
DLL1->NOTCH1,0.013577341731754622,184.5,183,-1.5
WNT3->FZD8,0.013865624131243814,174,188,14
CCL19->CCR7,0.014026589420673807,195.5,179,-16.5
NPY->PRLHR,0.014107161233413934,181,188,7
TFF2->CXCR4,0.014193950638784258,194,181,-13
BMP8A->ACVR2A,0.014214775203468921,158,233,75
UTS2->UTS2R,0.014492392053628733,188.5,181,-7.5
DSC3->DSG1,0.014697813458813047,249,160,-89
DSG1->DSC3,0.014697813458813047,249,160,-89
PVR->PVRIG,0.014701160395388269,171.5,194,22.5
CCL3L3->CCR5,0.014934673764928963,199.5,179,-20.5
WNT3A->FZD5,0.01518366059919296,171.5,197,25.5
WNT8A->FZD5,0.01518366059919296,171.5,197,25.5
WNT9B->FZD5,0.01518366059919296,171.5,197,25.5
PTGS2->CAV1,0.015372192113071614,218.5,181,-37.5
CNTF->IL6R,0.015557951370791079,173,216,43
CRH->CRHR1,0.015586279656621849,173,188,15
CTF1->LIFR,0.01568945647160702,195.5,164,-31.5
ALKAL1->ALK,0.01621449633987626,239.5,179,-60.5
ALKAL2->ALK,0.01621449633987626,239.5,179,-60.5
CD96->NECTIN1,0.01622408829060129,192.5,181,-11.5
NECTIN1->CD96,0.01622408829060129,192.5,181,-11.5
NECTIN2->CD96,0.01622408829060129,192.5,181,-11.5
MSMP->CCR2,0.016517216526253375,185.5,181,-4.5
SLIT3->ROBO2,0.016548542127117982,191,179,-12
IL24->IL20RA,0.016580630740112734,219,157,-62
CD5L->CD5,0.0167627912885967,185.5,181,-4.5
CNTN6->NOTCH1,0.017099591562230176,192.5,181,-11.5
DLK2->NOTCH1,0.017099591562230176,192.5,181,-11.5
CCN3->NOTCH1,0.017099591562230176,192.5,181,-11.5
RBP3->NOTCH1,0.017099591562230176,192.5,181,-11.5
BMP10->ENG,0.017238885896646128,181,216,35
GDF2->ENG,0.017238885896646128,181,216,35
BMP4->BMPR1A,0.017248464803850228,188.5,181,-7.5
TNFSF13->SDC2,0.01752775867764733,181,219,38
NGF->SORT1,0.017591907664327278,172.5,202,29.5
DKK1->KREMEN1,0.017739409314524224,195.5,181,-14.5
EFNA5->EPHB6,0.017802036046527414,164,194,30
BMP4->CFC1,0.01795406628008933,191,181,-10
IL19->IL20RA,0.017961061823756008,224,164,-60
IL20->IL20RA,0.017961061823756008,224,164,-60
IL26->IL20RA,0.017961061823756008,224,164,-60
EREG->ERBB4,0.018032353179601168,171.5,188,16.5
WNT2->FZD5,0.01831243551540951,171.5,197,25.5
CCL8->CCR5,0.018386864648182843,199.5,179,-20.5
SEMA6A->PLXNA4,0.018521951922189972,194,181,-13
CCL17->ACKR1,0.018527976056639694,236,160,-76
CCL17->ACKR2,0.018527976056639694,236,160,-76
BMP10->ACVRL1,0.018559320884374175,181,202,21
GDF2->ACVRL1,0.018559320884374175,181,202,21
UCN3->CRHR2,0.018644779966886516,161,219,58
TAC1->TACR3,0.01876564673800596,184.5,183,-1.5
CXCL8->CXCR2,0.018827011555172524,194,181,-13
NTF3->NTRK3,0.018906261468248475,174,188,14
BMP4->BMPR1B,0.019954270556392095,195.5,181,-14.5
CD226->NECTIN2,0.02008059537166429,192.5,181,-11.5
NECTIN2->CD226,0.02008059537166429,192.5,181,-11.5
IL33->IL1RL1,0.02043389285895214,218,164,-54
HBEGF->CD44,0.02050171755317065,231,179,-52
BMP8A->BMPR1A,0.020859236415052163,164,216,52
LRFN5->LRFN5,0.020892882373885757,199.5,179,-20.5
PTN->PTPRS,0.020977104607980857,191,179,-12
SFRP1->FZD2,0.020994006030461754,174,194,20
NPY->NPY4R,0.021040813585742724,187.5,183,-4.5
MYOC->FZD4,0.02134026935124489,195.5,179,-16.5
WNT9A->FZD4,0.02134026935124489,195.5,179,-16.5
EBI3->IL27RA,0.021388977655234065,164,194,30
HSPG2->PTPRS,0.021955352613205137,154,216,62
SELPLG->SELE,0.022008967611374608,181,194,13
PSPN->RET,0.022117082037736657,191,179,-12
CCL7->CCR2,0.02235378775362995,195.5,179,-16.5
VEGFD->FLT4,0.02237997900342603,195.5,181,-14.5
RSPO3->FZD8,0.022505374406003753,199.5,179,-20.5
IL9->IL9R,0.022773933683461145,165.5,216,50.5
GDNF->RET,0.022808500372359042,191,179,-12
PCNA->NCR2,0.02284398642412966,195,181,-14
ARTN->RET,0.023091420966652176,191,181,-10
TNFSF8->TNFRSF8,0.023270552118651477,182,194,12
ADAM12->SDC4,0.023410945519325987,165.5,194,28.5
TRH->TRHR,0.0234815276292496,181,194,13
F2->ITGA2B,0.023501791648229298,174.5,183,8.5
HSPG2->ITGA2,0.02361428593210113,164,219,55
CD34->SELL,0.023615382787360084,195.5,179,-16.5
NLGN3->NRXN3,0.024129201228198616,199.5,181,-18.5
BMP4->RGMB,0.024181022191840373,199.5,167,-32.5
SLAMF1->SLAMF1,0.024600131472780284,185.5,181,-4.5
WNT1->FZD8,0.024634321607970855,174,188,14
WNT8A->FZD8,0.024634321607970855,174,188,14
FGA->ITGA2B,0.025122764327161984,226,179,-47
CCL24->CCR3,0.0251390704838359,162.5,239,76.5
WNT5A->FZD6,0.025197582734811985,186.5,183,-3.5
IL10->IL10RB,0.025380648585415777,160.5,202,41.5
UCN2->IL10RB,0.025380648585415777,160.5,202,41.5
LAMA3->SDC2,0.025420240773622482,165.5,194,28.5
SCT->VIPR2,0.025704852349025198,194,164,-30
FGF2->CD44,0.02579726638674762,192.5,181,-11.5
ICAM3->ITGB2,0.025862848960522045,165.5,197,31.5
LRPAP1->VLDLR,0.026112118162172848,182,188,6
GH1->GHR,0.0261191441739953,194,179,-15
GH2->GHR,0.0261191441739953,194,179,-15
MADCAM1->CD44,0.026159475944720234,208,181,-27
AREG->EGFR,0.026291566989746995,199.5,181,-18.5
BMP2->ACVR2B,0.026507450912848673,184.5,183,-1.5
IL13->IL4R,0.02652545853052346,172.5,194,21.5
IL4->IL4R,0.02652545853052346,172.5,194,21.5
DNAJB11->PRTG,0.026943843778233778,206.5,179,-27.5
SELPLG->SELL,0.02718446279614195,181,194,13
ARTN->GFRA1,0.027356854969592392,181,202,21
ANXA2->TLR2,0.02736202436963231,179,194,15
CCL2->CCR2,0.02743480216302341,195.5,179,-16.5
CALCA->RAMP2,0.027516225444623177,184.5,183,-1.5
ICAM1->ITGAX,0.02760092324196317,180,194,14
GNAI2->F2R,0.027774873308737513,162.5,202,39.5
MMP9->CD44,0.027993213067281753,224,181,-43
HGF->CD44,0.028070363260286002,208,181,-27
BDNF->SORT1,0.028518473909376896,172.5,202,29.5
CCL4L1->CCR3,0.02863155200826717,195.5,181,-14.5
PRLH->PRLHR,0.028951187501633946,181,197,16
SELPLG->SELP,0.029154766318028602,182,188,6
SLITRK1->PTPRS,0.02927343120815873,181,216,35
ICAM2->ITGAM,0.029860916420581307,181,194,13
IHH->PTCH1,0.029906091658038703,173,247,74
TAC4->TACR1,0.03001632708855284,184.5,183,-1.5
APELA->APLNR,0.0300859642856931,195.5,167,-28.5
NLGN3->NRXN2,0.0301614962054908,165.5,197,31.5
NXPH1->NRXN2,0.0301614962054908,165.5,197,31.5
ANXA2->ROBO4,0.03129056035492639,179,194,15
SPON1->APP,0.031364232747818965,159,219,60
GRN->TNFRSF1A,0.031509755104395354,150,219,69
NTNG2->LRRC4,0.03174382306805701,195.5,179,-16.5
WNT2B->FZD4,0.0317701211510556,195.5,179,-16.5
LGI4->ADAM11,0.03209264670199685,181,188,7
PROK1->PROKR2,0.03214440990018308,181,202,21
LGI3->ADAM23,0.03223683310157344,181,202,21
RSPO2->RNF43,0.03226697895790098,180,240,60
NLGN1->NRXN2,0.03241384151949844,173,197,24
IHH->BOC,0.03249401555459108,182,194,12
PTN->PTPRB,0.03282301122577713,164,209,45
TAC3->TACR3,0.03283187352514705,181,197,16
CD38->PECAM1,0.032959683748781776,181,194,13
PECAM1->CD38,0.032959683748781776,181,194,13
RAET1E->KLRK1,0.03299588452399027,208,181,-27
SEMA4A->PLXND1,0.033104385300448014,205,181,-24
CCL2->CCR5,0.03314312033919664,197,179,-18
DSC1->DSG3,0.03342722309676749,181,194,13
CD1D->LILRB2,0.03378279138138063,191,181,-10
WNT3A->FZD6,0.033855903920342434,231,181,-50
NLGN4X->NRXN1,0.034032596103388824,187.5,183,-4.5
BMP2->HJV,0.03403438828272687,181,194,13
NTS->SORT1,0.034039891075639095,164,216,52
SLITRK2->PTPRS,0.0341506685258286,184.5,183,-1.5
CCL17->CCR4,0.035403036317921965,239.5,164,-75.5
CCL14->CCR1,0.0354323119693688,191,179,-12
CNTF->LIFR,0.03616192586622691,185.5,181,-4.5
GNAI2->C5AR1,0.036231887297781595,159.5,194,34.5
L1CAM->EGFR,0.03625253750665902,231,181,-50
HCRT->NPFFR2,0.03627109435786202,181,197,16
APOE->LRP5,0.0369162559635281,180,188,8
GCG->GCGR,0.0371023143922814,173,188,15
GCG->GLP1R,0.0371023143922814,173,188,15
GCG->GLP2R,0.0371023143922814,173,188,15
EFNA2->EPHA1,0.03720524776857781,171.5,239,67.5
DLL4->NOTCH1,0.037333797012097936,192.5,181,-11.5
SEMA4A->PLXNB1,0.03744681378554382,160.5,202,41.5
IL6->IL6R,0.03747610582570615,185.5,179,-6.5
EFNA2->EPHA7,0.037754021933117166,162.5,240,77.5
MIF->CXCR2,0.038233534994576046,233,179,-54
PLAU->ST14,0.03854420194161057,222.5,181,-41.5
CD59->CD2,0.03856059574512427,171.5,194,22.5
BMP7->ENG,0.03878209300484359,181,216,35
CCL3->CCR4,0.03886970106996446,182,194,12
TGFB1->TGFBR3,0.039140322257726456,159.5,202,42.5
RELN->ITGA3,0.03916755575425501,179,188,9
CCL14->CCR5,0.03944581429281124,218,164,-54
SLITRK6->PTPRS,0.03969020209711793,199.5,179,-20.5
F2->GP1BA,0.03982240861376163,181,194,13
NPY->NPY2R,0.03986173185983721,234,179,-55
TGFB3->ACVRL1,0.040003956655973005,191,181,-10
AANAT->MTNR1B,0.04008061290870368,181,219,38
NPNT->ITGA8,0.040276072686135755,173,194,21
SEMA7A->ITGB1,0.040393374403933424,179,194,15
TNFSF13->TNFRSF1A,0.040663124872073575,181,239,58
CD96->PVR,0.040793387349777444,171.5,194,22.5
PVR->CD96,0.040793387349777444,171.5,194,22.5
CCL19->ACKR2,0.04087081561312067,191,179,-12
CCL19->ACKR4,0.04087081561312067,191,179,-12
CCL19->CCR10,0.040972796349411866,195.5,179,-16.5
NLGN3->NRXN1,0.041230432284049656,184.5,183,-1.5
TFF3->CXCR4,0.04169648124852576,187.5,183,-4.5
APP->GPC1,0.04231312020830025,154,327,173
BMP2->BMPR1B,0.04254438741339428,198,181,-17
SLIT3->ROBO4,0.042638797285071695,191,179,-12
ADAM23->ITGB3,0.042802426874585686,174,194,20
CCL19->CXCR3,0.04319929138428291,195.5,179,-16.5
CD2->CD48,0.04323073839553937,218,181,-37
CD48->CD2,0.04323073839553937,218,181,-37
IL1RAPL1->PTPRS,0.04339663351822898,184.5,183,-1.5
LRRC4B->PTPRS,0.04339663351822898,184.5,183,-1.5
HAS2->CD44,0.04366996550900015,208,181,-27
SERPINF1->PLXDC1,0.043810421504317465,215,181,-34
IFNL1->IL10RB,0.04391702873893222,160.5,202,41.5
IFNL2->IL10RB,0.04391702873893222,160.5,202,41.5
IFNL3->IL10RB,0.04391702873893222,160.5,202,41.5
IFNL4->IL10RB,0.04391702873893222,160.5,202,41.5
IL22->IL10RB,0.04391702873893222,160.5,202,41.5
FGF16->FGFR4,0.04457226397651426,180,233,53
FGF17->FGFR4,0.04457226397651426,180,233,53
FGF20->FGFR4,0.04457226397651426,180,233,53
FGF21->FGFR4,0.04457226397651426,180,233,53
FGF23->FGFR4,0.04457226397651426,180,233,53
FGF4->FGFR4,0.04457226397651426,180,233,53
FGF6->FGFR4,0.04457226397651426,180,233,53
FGF8->FGFR4,0.04457226397651426,180,233,53
BMP8A->ACVR2B,0.04463787221605453,173,202,29
PTGS2->PTGDR2,0.04469427225981981,248.5,179,-69.5
FGF1->CD44,0.04498805704145903,192.5,181,-11.5
ST6GAL1->CD22,0.045098223923100256,171.5,216,44.5
PLA2G2A->ITGA4,0.04523303569053705,195.5,179,-16.5
WNT5A->RYK,0.04574285937772116,171.5,194,22.5
PLA2G2A->ITGB3,0.04617035346962495,233,179,-54
BTLA->TNFRSF14,0.04670239356948125,172.5,233,60.5
TNFRSF14->BTLA,0.04670239356948125,172.5,233,60.5
CD160->TNFRSF14,0.04670239356948125,172.5,233,60.5
TNFRSF14->CD160,0.04670239356948125,172.5,233,60.5
LTA->TNFRSF14,0.04670239356948125,172.5,233,60.5
TNFSF14->TNFRSF14,0.04670239356948125,172.5,233,60.5
ADAM9->ITGB1,0.047313349954948736,179,194,15
AGRP->SDC3,0.04754181220746789,187.5,183,-4.5
PTHLH->PTH2R,0.04773196088178855,244,161,-83
LY86->CD180,0.048217566223813346,182,194,12
LTA->TNFRSF1B,0.04889490582290856,181,202,21
OMG->TNFRSF1B,0.04889490582290856,181,202,21
DLL1->NOTCH3,0.0493137229513162,149,197,48
SST->SSTR2,0.04948214175203014,165.5,202,36.5
PDYN->OPRD1,0.049780301736116805,169.5,194,24.5
