lr_pair,pval_AU,median_day_high_AU,median_day_low_AU,diff_day_AU
CRTAM->CADM1,0.032225115,465,373.5,91.5
NTF4->NTRK1,0.032323703,348,487.5,-139.5
PODXL2->SELL,0.032549656,423,373.5,49.5
BSG->SELE,0.032804484,540,345.5,194.5
ICAM3->ITGAD,0.033021993,465,347,118
WNT3->FZD8,0.034175503,423,412.5,10.5
MYOC->FZD1,0.034446031,451,355,96
RGMB->NEO1,0.034713003,412,418.5,-6.5
KISS1->KISS1R,0.034908812,413,413,0
GRN->SORT1,0.035144346,465,360,105
WNT5B->FZD8,0.035189109,429,360,69
WNT2->FZD1,0.035191115,429,360,69
CALCA->RAMP2,0.035734929,427,373.5,53.5
TGM2->ITGB3,0.035862693,348,518,-170
RGMA->NEO1,0.035960779,413,387.5,25.5
SEMA3F->PLXNA3,0.036242342,359,546,-187
VEGFA->GPC1,0.036306048,348,547.5,-199.5
RARRES2->CCRL2,0.036352356,451,345.5,105.5
CADM1->CADM3,0.036557532,451,400,51
CADM3->CADM1,0.036557532,451,400,51
FGF19->FGFR3,0.036577113,351,518,-167
SEMA6A->PLXNA4,0.036839766,400,418.5,-18.5
IHH->PTCH2,0.037388272,499,368,131
BMP4->BMPR1A,0.03740611,427,406,21
SLIT3->ROBO2,0.037702028,451,355,96
DAG1->LAMA4,0.038241683,429,360,69
BMP8A->BMPR1A,0.038257834,413,413,0
LAMA2->DAG1,0.038357636,423,374.5,48.5
WNT2->FZD3,0.038434449,427,373.5,53.5
LGALS3->LAG3,0.038471554,499,349.5,149.5
CCL24->CCR3,0.038863721,413,407,6
FGB->ITGAM,0.038921473,348,470.5,-122.5
THBS1->ITGB1,0.038922272,332,470.5,-138.5
THBS2->NOTCH3,0.038945839,427,353.5,73.5
IL19->IL20RB,0.03927942,337.5,499,-161.5
MYOC->FZD3,0.039438292,451,394,57
WNT1->FZD3,0.039438292,451,394,57
SELPLG->SELP,0.039466937,540,349.5,190.5
GDF11->ACVR2B,0.040083444,337,546,-209
TGFB1->VASN,0.04098572,388,445,-57
TOR2A->ATP5F1B,0.041961469,499,360,139
EDIL3->ITGB3,0.042125596,423,380.5,42.5
NECTIN4->NECTIN4,0.042929021,540,351,189
NECTIN4->TIGIT,0.042929021,540,351,189
ARTN->RET,0.043143227,423,385.5,37.5
FGL1->EGFR,0.043307898,287,470.5,-183.5
GRP->BRS3,0.043746065,429,412.5,16.5
CCL7->CXCR3,0.044206791,455,334.5,120.5
MMP9->LRP1,0.04488029,429,349.5,79.5
F13A1->ITGB1,0.044928123,332,487.5,-155.5
SPON2->ITGB1,0.044928123,332,487.5,-155.5
VTN->ITGA8,0.045137362,400,413.5,-13.5
CLCF1->CNTFR,0.045168734,361,425,-64
WNT1->FZD2,0.046202864,429,351,78
LTB->LTBR,0.046570121,351,470.5,-119.5
THBS2->ITGA4,0.047105042,423,353.5,69.5
RSPO3->LGR5,0.047232025,465,373.5,91.5
DHH->PTCH1,0.047400031,423,368,55
CXCL6->CXCR2,0.047498392,337,519.5,-182.5
BMP6->BMPR1A,0.047789915,413,413,0
FGF9->FGFR4,0.048054026,414,373.5,40.5
NRTN->GFRA1,0.048133863,423,400,23
CXCL16->CXCR6,0.048156996,552,337.5,214.5
NTNG2->LRRC4,0.048189446,429,353.5,75.5
WNT10B->FZD7,0.048500196,451,360,91
BMP10->BMPR1A,0.048886612,413,413,0
BMP15->BMPR1A,0.048886612,413,413,0
GDF1->BMPR1A,0.048886612,413,413,0
GDF5->BMPR1A,0.048886612,413,413,0
GDF9->BMPR1A,0.048886612,413,413,0
DHH->HHIP,0.0490736,427,394,33
MICA->KLRK1,0.04948826,348,463.5,-115.5
PYY->NPY4R,0.049643382,429,345.5,83.5
